ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.77.232.221","elite","AS131090","TH","CAT Telecom Public Company Limited","198","CAT BBviaOnnet","4145","socks4","42","1","2023-01-15T11:08:22.622Z","89","702","792"
"110.77.236.112","elite","AS131090","TH","CAT Telecom Public Company Limited","194","CAT BBviaOnnet","4153","socks4","42","1","2023-01-15T11:08:21.976Z","86","688","796"
"125.19.99.90","elite","AS9498","IN","Bharti Airtel","127","World Phone  PVT Ltd.","4145","socks4","42","1","2023-01-15T11:08:19.533Z","100","809","813"
"170.80.91.14","elite","AS264820","CR","Corebases S.A","157","Corebases S.A","4145","socks4","39","1","2023-01-15T11:08:18.919Z","98","801","815"
"36.90.167.71","elite","AS7713","ID","PT. Telekomunikasi Indonesia","176","Telekomunikasi Indonesia","5678","socks4","43","2","2023-01-15T11:08:14.156Z","76","606","800"
"199.247.21.21","elite","AS20473","DE","The Constant Company","10","Vultr Holdings LLC Frankfurt","8090","http","51","11","2023-01-15T11:08:12.766Z","100","817","817"
"45.112.125.56","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","52","1","2023-01-15T11:08:12.096Z","99","752","757"
"125.162.57.178","elite","AS7713","ID","PT. TELKOM INDONESIA","164","N/A","4145","socks4","37","1","2023-01-15T11:08:11.735Z","91","730","802"
"120.26.68.107","elite","AS37963","CN","Addresses CNNIC","199","Aliyun Computing Co., LTD","80","socks4","40","1","2023-01-15T11:08:11.388Z","99","714","721"
"177.105.68.119","elite","AS262637","BR","Netprimus Tecnologia Ltda","185","Netprimus Tecnologia Ltda","4153","socks4","39","1","2023-01-15T11:08:10.957Z","100","809","812"
"14.207.117.32","elite","AS45629","TH","Triple T Broadband Public Company Limited","152","Triple T Broadband Public Company Limited","4153","socks4","43","1","2023-01-15T11:08:10.939Z","98","781","801"
"213.32.253.145","elite","AS206206","IQ","Kurdistan Net Company for Computer and Internet Ltd.","79","Exabyt","4145","socks4","44","1","2023-01-15T11:08:10.907Z","21","165","780"
"102.141.197.17","anonymous","AS328319","SO","Amtel LTD","136","AMTELKOM","8080","http","54","885","2023-01-15T11:08:10.531Z","99","717","723"
"188.255.244.37","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","37","Orion Telekom Tim d.o.o.Beograd","1080","socks4","56","1","2023-01-15T11:08:10.470Z","100","817","817"
"43.134.167.51","elite","AS132203","SG","Aceville Pte.ltd","323","N/A","443","socks5","56","1","2023-01-15T11:08:10.486Z","84","662","790"
"106.110.200.3","elite","AS4134","CN","Chinanet","207","Chinanet GD","57114","socks4","72","2","2023-01-15T11:08:08.483Z","93","716","773"
"181.233.49.146","anonymous","AS272094","EC","Optilink CIA Ltda","192","Optilink CIA Ltda","999","http","53","1383","2023-01-15T11:08:08.347Z","100","721","723"
"203.24.109.26","elite","AS209242","BZ","Cloudflare London","2","Umpire Associates LTD","80","socks4","71","1","2023-01-15T11:08:08.250Z","100","807","807"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","223","Broban  PVT Ltd.","1080","socks4","37","1","2023-01-15T11:08:08.164Z","100","817","818"
"51.68.123.217","elite","AS16276","FR","OVH SAS","5","OVH","7497","socks5","41","1","2023-01-15T11:08:08.518Z","100","805","805"
"81.174.11.159","elite","AS35612","IT","NGI","24","NGI S.p.A.","43516","socks4","53","1","2023-01-15T11:08:07.992Z","51","368","722"
"195.154.56.108","elite","AS12876","FR","Online SAS","1","N/A","57438","socks5","42","1","2023-01-15T11:08:07.887Z","62","493","790"
"212.108.144.67","anonymous","AS202254","CY","Lifecell Digital LTD","65","N/A","8080","http","73","3143","2023-01-15T11:08:07.343Z","100","837","839"
"103.59.203.161","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","191","NET 4 U Services PVT LTD","4145","socks4","149","1","2023-01-15T11:08:07.961Z","100","809","812"
"66.29.129.52","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","14924","socks4","47","1","2023-01-15T11:08:07.998Z","100","818","821"
"105.213.75.250","elite","AS16637","ZA","MTN SA","176","MTN SA","5678","socks4","87","1","2023-01-15T11:08:07.611Z","95","731","772"
"158.140.160.86","elite","AS63859","ID","MYREPUBLIC","198","N/A","10808","socks4","38","1","2023-01-15T11:08:06.965Z","98","777","791"
"189.85.112.20","elite","AS270540","BR","WEBNET Telecom","229","WEBNET Telecom","7497","socks5","65","1","2023-01-15T11:08:06.210Z","99","753","757"
"41.191.203.89","elite","AS37057","LS","ENTERPRISE","194","N/A","5678","socks4","44","1","2023-01-15T11:08:06.875Z","100","822","824"
"181.129.52.154","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","144","EPM Telecomunicaciones S.A. E.S.P","42648","http","39","293","2023-01-15T11:08:06.223Z","98","705","719"
"43.153.81.168","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks4","41","1","2023-01-15T11:08:05.585Z","59","468","795"
"102.164.16.148","elite","AS328341","ZA","Capricom","238","N/A","5678","socks4","49","2","2023-01-15T11:08:05.637Z","88","644","728"
"58.59.60.94","elite","AS4134","CN","Chinanet","186","Chinanet SD","10800","socks4","36","6","2023-01-15T11:08:05.428Z","97","741","762"
"143.244.140.236","elite","AS14061","IN","DigitalOcean, LLC","155","DigitalOcean, LLC","8444","socks4","46","1","2023-01-15T11:08:05.070Z","100","764","765"
"186.251.255.245","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","216","Seanet Telecom Carazinho Eireli","31337","socks4","53","1","2023-01-15T11:08:05.634Z","100","816","818"
"201.144.20.231","elite","AS8151","MX","Uninet S.A. de C.V","173","Gestión de direccionamiento UniNet","5678","socks4","48","1","2023-01-15T11:08:05.635Z","98","824","838"
"93.171.241.18","elite","AS8870","UA","tom nets","39","Campus City Ltd","1080","socks4","51","1","2023-01-15T11:08:05.002Z","100","837","837"
"177.128.44.129","elite","AS262605","BR","BRASIL TECNOLOGIA E PARTICIPACOES S/A","244","BRASIL TECNOLOGIA E PARTICIPACOES S/A","31337","socks4","66","1","2023-01-15T11:08:05.602Z","100","826","827"
"177.155.130.97","elite","AS53062","BR","Ggnet Telecom Backbone","208","Ggnet Telecom Backbone","5678","socks4","68","1","2023-01-15T11:08:05.635Z","99","729","735"
"206.189.149.96","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","1080","socks5","46","1","2023-01-15T11:08:05.138Z","77","597","779"
"218.21.78.35","elite","AS4134","CN","China Telecom","234","N/A","4145","socks4","132","2","2023-01-15T11:08:05.341Z","93","704","759"
"91.232.105.105","elite","AS49981","NL","WorldStream B.V.","14","WorldStream B.V","32913","socks5","77","1","2023-01-15T11:08:05.989Z","99","768","777"
"201.184.155.20","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","144","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","38","1","2023-01-15T11:08:05.643Z","90","738","820"
"189.22.78.34","elite","AS4230","BR","Claro S.A","247","Hotelaria Accor Brasil S/A","4153","socks4","65","1","2023-01-15T11:08:04.228Z","99","831","837"
"45.114.144.199","elite","AS55507","IN","Tejays Dynamic Limited","221","Tejays Dynamic Ltd","32434","socks4","54","1","2023-01-15T11:08:04.227Z","73","536","738"
"5.202.151.92","elite","AS49100","IR","PTS-Network","123","N/A","80","socks5","37","1","2023-01-15T11:08:04.492Z","91","701","773"
"36.95.122.51","elite","AS7713","ID","PT. Telekomunikasi Indonesia","196","Telekomunikasi Indonesia","5678","socks4","129","1","2023-01-15T11:08:04.766Z","92","669","724"
"27.106.84.186","elite","AS45194","IN","Syscon Infoway Pvt. Ltd","119","Syscon Infoway Pvt. Ltd.","4153","socks4","135","1","2023-01-15T11:08:04.552Z","99","829","838"
"171.97.40.215","elite","AS17552","TH","True Internet Corporation CO. Ltd.","191","Truenet Hisp","8080","socks4","62","1","2023-01-15T11:08:04.915Z","89","652","734"
"80.26.55.178","elite","AS3352","ES","TDENET (Red de servicios IP)","31","N/A","5678","socks4","48","1","2023-01-15T11:08:04.558Z","100","761","762"
"202.129.52.173","elite","AS9931","TH","CAT Telecom Public Company Limited","185","CAT Northeast","4153","socks4","155","1","2023-01-15T11:08:04.159Z","99","811","818"
"102.66.231.64","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","227","Herotel","5678","socks4","97","1","2023-01-15T11:08:04.181Z","46","342","742"
"183.89.9.20","elite","AS45629","TH","Triple T Broadband Public Company Limited","157","Triple T Broadband Public Company Limited","4153","socks4","49","1","2023-01-15T11:08:04.526Z","98","772","790"
"114.116.96.118","elite","AS23724","CN","IDC, China Telecommunications Corporation","161","Huawei Public Cloud Service","2080","socks5","55","1","2023-01-15T11:08:04.149Z","98","764","776"
"45.112.125.62","elite","AS58369","ID","FIBERNET","165","N/A","4145","socks4","67","1","2023-01-15T11:08:04.218Z","100","836","839"
"157.245.1.59","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","57998","socks5","63","1","2023-01-15T11:08:04.501Z","99","787","792"
"190.13.147.93","elite","AS14117","CL","Telefonica del Sur S.A.","210","Telefonica del Sur S.A","5678","socks4","111","1","2023-01-15T11:08:04.180Z","96","749","777"
"172.104.154.229","elite","AS63949","DE","Linode, LLC","10","Linode","1082","socks5","119","1","2023-01-15T11:08:04.539Z","100","776","776"
"201.147.86.225","elite","AS8151","MX","Uninet S.A. de C.V","164","Gestión de direccionamiento UniNet","3128","socks4","120","1","2023-01-15T11:08:03.174Z","100","816","820"
"202.124.43.174","elite","AS9902","KH","NeocomISP Limited","211","NeocomISP Limited","4145","socks4","137","1","2023-01-15T11:08:03.559Z","99","829","837"
"200.108.196.108","elite","AS20255","UY","Tecnowind S.A.","231","Tecnowind S.A","4145","socks4","107","1","2023-01-15T11:08:03.005Z","98","821","835"
"1.4.195.114","elite","AS23969","TH","TOT Public Company Limited","158","TOT Public Company Limited","4145","socks4","38","1","2023-01-15T11:08:03.573Z","100","837","838"
"45.122.44.2","elite","AS38571","IN","Channel9 Cable Network","142","N/A","5678","socks4","58","1","2023-01-15T11:08:03.087Z","99","830","837"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","221","Broban  PVT Ltd.","1080","socks4","71","1","2023-01-15T11:08:03.739Z","100","795","797"
"185.169.181.15","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","53","1","2023-01-15T11:08:03.560Z","100","823","823"
"189.16.7.2","elite","AS4230","BR","Claro S.A","264","Seven - Administracao E Participacao Ltda","4153","socks4","57","2","2023-01-15T11:08:03.176Z","100","838","838"
"178.62.202.227","elite","AS14061","NL","DigitalOcean, LLC","14","Digital Ocean","7497","socks5","63","1","2023-01-15T11:08:03.510Z","100","806","806"
"85.208.252.138","elite","AS43754","IR","Asiatech Data Transmission company","89","RasaAbrPardazeshIranian GeevCloud","9050","socks4","54","1","2023-01-15T11:08:03.245Z","97","794","821"
"138.204.146.46","elite","AS263896","BR","J A J INFORMATICA","235","J A J INFORMATICA","3332","socks5","59","1","2023-01-15T11:08:03.560Z","100","787","790"
"152.69.221.55","elite","AS31898","SG","Oracle Corporation","241","Oracle Corporation","10114","socks5","106","1","2023-01-15T11:08:03.296Z","100","791","791"
"186.4.247.48","elite","AS27947","EC","Telconet S.A","176","Clientes NETLIFE Quito - gepon","51327","socks4","64","1","2023-01-15T11:08:03.455Z","100","721","723"
"106.15.76.121","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","182","Aliyun Computing Co., LTD","3128","http","92","373","2023-01-15T11:08:03.512Z","98","709","720"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","1","ONLINE","8811","socks4","53","1","2023-01-15T11:08:03.865Z","100","836","836"
"202.159.35.57","elite","AS9340","ID","PT IndoInternet","184","N/A","443","socks4","61","3","2023-01-15T11:08:02.458Z","100","826","828"
"59.11.153.88","elite","AS4766","KR","Korea Telecom","230","Kornet","80","http","74","458","2023-01-15T11:08:02.593Z","94","683","723"
"190.109.75.253","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","189","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","71","1","2023-01-15T11:08:02.721Z","99","767","777"
"80.242.34.242","elite","AS44234","SK","GAYA","31","Business services","80","socks4","55","1","2023-01-15T11:08:02.723Z","100","762","762"
"168.227.158.49","elite","AS52898","BR","Multipla Serviços Inteligentes","198","Multipla Serviços Inteligentes","4145","socks4","61","1","2023-01-15T11:08:02.721Z","100","821","822"
"95.165.17.138","elite","AS25513","RU","Moscow Local Telephone Network (OAO MGTS)","54","OAO Mgts)","1080","socks4","41","1","2023-01-15T11:08:02.827Z","98","824","838"
"202.72.209.3","elite","AS23953","ID","PT ARTHA TELEKOMINDO","206","SCBD CustomerNetwork1","44550","socks4","64","1","2023-01-15T11:08:02.390Z","90","672","743"
"113.77.243.96","elite","AS4134","CN","Chinanet","222","Chinanet GD","8118","socks5","43","2","2023-01-15T11:08:02.461Z","41","340","824"
"192.111.130.2","elite","AS46562","CA","Performive LLC","132","Total Server Solutions L.L.C.","4145","socks4","98","1","2023-01-15T11:08:02.494Z","96","693","722"
"87.197.151.162","elite","AS6855","SK","Slovak Telecom AS6855","44","Slovak Telekom, a.s.","4145","socks4","199","1","2023-01-15T11:08:02.250Z","41","340","822"
"103.242.104.244","elite","AS58821","ID","PT Lintas Jaringan Nusantara","173","PT Lintas Jaringan Nusantara","5678","socks4","102","1","2023-01-15T11:08:02.719Z","98","792","805"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","48","Mastertel","5678","socks4","72","1","2023-01-15T11:08:02.109Z","100","795","797"
"181.78.24.29","elite","AS52468","CO","IFX Networks Argentina S.R.L","162","UFINET COLOMBIA, S. A","5678","socks4","45","1","2023-01-15T11:08:02.110Z","99","788","796"
"51.15.187.125","elite","AS12876","FR","SCALEWAY","1","ONLINE","5836","socks4","105","1","2023-01-15T11:08:02.447Z","100","731","731"
"172.64.207.185","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","83","1","2023-01-15T11:08:02.214Z","100","731","731"
"81.199.14.17","elite","AS36892","UG","IPTEC Limited","184","Gilat Satcom Ltd.","1088","socks4","76","1","2023-01-15T11:08:01.690Z","96","772","804"
"157.245.140.55","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","35965","socks5","244","1","2023-01-15T11:08:01.002Z","100","791","792"
"36.36.103.171","elite","AS17962","CN","ShenZhen Topway Video Communication Co. Ltd.","288","Topway","80","socks4","86","1","2023-01-15T11:08:01.065Z","84","633","753"
"109.75.42.82","elite","AS44395","AM","Ucom LLC","63","Ucom LLC","3629","socks4","81","1","2023-01-15T11:08:01.590Z","100","833","837"
"36.75.16.40","elite","AS7713","ID","PT. TELKOM INDONESIA","207","N/A","4153","socks5","63","1","2023-01-15T11:08:01.602Z","87","666","764"
"155.225.2.72","elite","AS53257","US","The Citadel","97","The Citadel","3127","socks4","63","1","2023-01-15T11:08:01.177Z","100","796","798"
"190.109.72.248","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","189","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","177","1","2023-01-15T11:08:01.020Z","99","812","823"
"202.141.242.3","elite","AS9260","PK","Multinet Broadband","161","Multinet Broadband","55544","socks4","197","1","2023-01-15T11:08:01.019Z","98","816","835"
"200.10.73.211","elite","AS6147","PE","Telefonica del Peru S.A.A.","191","Telefonica del Peru S.A.A","5678","socks4","37","1","2023-01-15T11:08:01.177Z","96","768","804"
"5.9.149.69","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30000","socks4","71","1","2023-01-15T11:08:01.542Z","100","753","753"
"103.233.154.19","elite","AS17451","ID","BIZNET","193","N/A","4145","socks4","67","1","2023-01-15T11:08:01.642Z","100","835","835"
"103.70.204.209","elite","AS135712","IN","Euron Communications Pvt. Ltd","232","Euron Communications Pvt. Ltd.","59311","socks4","186","1","2023-01-15T11:08:01.019Z","99","831","836"
"177.105.68.62","elite","AS262637","BR","Netprimus Tecnologia Ltda","185","Netprimus Tecnologia Ltda","4153","socks4","72","1","2023-01-15T11:08:01.591Z","100","799","801"
"141.105.107.34","elite","AS200064","ES","Red digital de telecomunicaciones de las Islas Baleares S.L","54","Ibred","5678","socks4","52","1","2023-01-15T11:08:01.601Z","100","742","743"
"98.188.47.150","elite","AS22773","US","Cox Communications Inc.","148","Cox Communications","4145","socks4","98","1","2023-01-15T11:08:01.835Z","85","635","744"
"45.249.101.1","elite","AS135411","BD","Red Grapes Pte Ltd","193","N/A","56457","socks4","61","1","2023-01-15T11:08:01.590Z","100","833","837"
"43.153.176.106","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","249","Tencent Cloud Computing","443","socks4","49","1","2023-01-15T11:08:01.836Z","80","635","791"
"43.153.52.192","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","443","socks4","58","1","2023-01-15T11:08:01.838Z","21","165","794"
"168.227.158.21","elite","AS52898","BR","Multipla Serviços Inteligentes","198","Multipla Serviços Inteligentes","4145","socks4","103","1","2023-01-15T11:08:01.067Z","100","752","755"
"75.119.200.27","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","23456","socks4","37","1","2023-01-15T11:08:00.274Z","100","816","816"
"168.227.143.64","elite","AS263735","US","Sociedad Buena Hosting","76","Global Digital DC","10086","socks5","92","1","2023-01-15T11:08:00.707Z","98","781","794"
"114.6.88.238","elite","AS4761","ID","PT. INDOSAT Tbk","213","PT. INDOSAT Tbk","36732","socks4","94","1","2023-01-15T11:08:00.272Z","99","826","838"
"103.59.203.189","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","194","NET 4 U Services PVT LTD","4145","socks4","42","1","2023-01-15T11:08:00.389Z","99","833","838"
"192.12.113.255","elite","AS266144","BR","Rosana Ferreira da Silva Multimidia ME","162","Rosana Ferreira da Silva Multimidia ME","4145","socks4","189","1","2023-01-15T11:08:00.272Z","16","130","794"
"117.241.133.31","elite","AS9829","IN","BSNL Internet","176","N/A","5678","socks4","39","1","2023-01-15T11:08:00.974Z","97","764","791"
"103.53.228.217","elite","AS131427","VN","AOHOAVIET","168","AO HOA Viet Co., ltd","7497","socks5","186","1","2023-01-15T11:08:00.647Z","78","653","838"
"93.171.224.43","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","54","PE TV and Radio Company Kentavr-TV","4153","socks4","80","1","2023-01-15T11:08:00.748Z","98","826","839"
"103.79.96.194","elite","AS64308","ID","PT IndoDev Niaga Internet","198","PT IndoDev Niaga Internet","4153","socks4","45","1","2023-01-15T11:08:00.388Z","99","823","828"
"189.90.63.122","elite","AS28343","BR","Unifique Telecomunicações SA","205","Unifique Telecomunicações SA","4153","socks4","52","1","2023-01-15T11:08:00.273Z","99","760","764"
"137.110.161.153","elite","AS7377","US","University of California, San Diego","140","University of California, San Diego","80","socks4","128","1","2023-01-15T11:08:00.792Z","100","820","820"
"190.181.23.10","elite","AS26210","BO","AXS Bolivia S. A.","200","AXS Bolivia S. A","4153","socks4","46","1","2023-01-15T11:08:00.671Z","97","812","839"
"117.242.230.203","elite","AS9829","IN","BSNL Internet","172","N/A","5678","socks5","41","13","2023-01-15T11:08:00.911Z","32","253","779"
"110.78.141.219","elite","AS131090","TH","CAT-BB","182","N/A","4145","socks4","174","1","2023-01-15T11:08:00.851Z","79","661","838"
"212.69.12.137","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","40","Orion Telekom Tim d.o.o.Beograd","1080","socks4","146","1","2023-01-15T11:08:00.669Z","100","798","798"
"117.65.87.105","elite","AS4134","CN","Chinanet","185","Chinanet AH","38801","socks4","68","1","2023-01-15T11:07:59.891Z","94","727","775"
"148.251.3.169","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30046","socks5","230","1","2023-01-15T11:07:59.047Z","100","803","803"
"77.37.142.203","elite","AS42610","RU","NCNET","47","N/A","53281","socks5","99","1","2023-01-15T11:07:59.155Z","95","743","779"
